letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
the-devils-rejects,1696,The Devil's Rejects,The Devil's Rejects,/jh7DntVbhrNS4JkeEQW6QxcPWim.jpg,,"The sequel to House of 1000 Corpses – the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing – yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way.",2005,0,-1.0
the-island-2005,1635,The Island,The Island,/qU9dDBfGTfSEPTkBIrUaCU2Rwu4.jpg,,"In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",2005,0,-1.0
fantastic-four-2005,9738,Fantastic Four,Fantastic Four,/8HLQLILZLhDQWO6JDpvY6XJLH75.jpg,,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",2005,0,-1.0
war-of-the-worlds,74,War of the Worlds,War of the Worlds,/6Biy7R9LfumYshur3YKhpj56MpB.jpg,,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",2005,0,-1.0
the-longest-yard-2005,9291,The Longest Yard,The Longest Yard,/nbKcVBcxF96ARW2oKHqDYAcLdu.jpg,,"Pro quarter-back, Paul Crewe and former college champion and coach, Nate Scarboro are doing time in the same prison. Asked to put together a team of inmates to take on the guards, Crewe enlists the help of Scarboro to coach the inmates to victory in a football game 'fixed' to turn out quite another way.",2005,0,-1.0
cache,445,Caché,Caché,/lrWSRw8PGerSQoP2HP1KChN5Gwt.jpg,,A married couple is terrorized by a series of videotapes planted on their front porch.,2005,0,-1.0
the-hitchhikers-guide-to-the-galaxy-2005,7453,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,/tcrkbs4ezEklmvt39b01881P6CN.jpg,,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",2005,0,-1.0
the-pacifier,10022,The Pacifier,The Pacifier,/ayVLPibrtazh7U5FliWRLDMmG3d.jpg,,Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,2005,0,-1.0
the-squid-and-the-whale,10707,The Squid and the Whale,The Squid and the Whale,/9NbXn1NMdfGM491V3EFjZADR9SX.jpg,,"Based on the true childhood experiences of Noah Baumbach and his brother, The Squid and the Whale tells the touching story of two young boys dealing with their parents divorce in Brooklyn in the 1980's.",2005,0,-1.0
meet-the-fockers,693,Meet the Fockers,Meet the Fockers,/1kkx1qEmMOmBdPbJDoQDRmmCzlE.jpg,,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",2004,0,-1.0
lemony-snickets-a-series-of-unfortunate-events,11774,Lemony Snicket's A Series of Unfortunate Events,Lemony Snicket's A Series of Unfortunate Events,/syuIptWCGH1AlJ8AB7ZGwckHSi1.jpg,,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.  This movie is extremely alarming, an expression which here means ""a thrilling misadventure involving three ingenious orphans and a villainous actor named Count Olaf (Jim Carrey) who wants their enormous fortune.""  It includes a suspicious fire, delicious pasta, Jim Carrey, poorly behaved looches, Billy Connolly, an incredibly deadly viper, Meryl Streep, and the voice of an imposter named Jude Law.",2004,0,-1.0
oceans-twelve,163,Ocean's Twelve,Ocean's Twelve,/pE5anFf7nf6ah7V3VRezQ1KSovi.jpg,,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",2004,0,-1.0
the-spongebob-squarepants-movie,11836,The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,/nLvLlyODv0StiSYDeCTE5KnN0Gi.jpg,,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",2004,0,-1.0
layer-cake,4836,Layer Cake,Layer Cake,/adTpRoxdz2Apw1Y7fT9wYkOHAw4.jpg,,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...",2004,0,-1.0
hotel-rwanda,205,Hotel Rwanda,Hotel Rwanda,/p3pHw85UMZPegfMZBA6dZ06yarm.jpg,,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",2004,0,-1.0
shark-tale,10555,Shark Tale,Shark Tale,/r08DpyPyhXcJTfNZAICNGMzcQ8l.jpg,,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",2004,0,-1.0
i-robot,2048,"I, Robot","I, Robot",/zDu0TsCZHPzDO0d0iG9QynKGr4J.jpg,,"In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",2004,0,-1.0
garfield,8920,Garfield,Garfield,/5hKlKh62yIR03XHZxwFs3EaIFfD.jpg,,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",2004,0,-1.0
mysterious-skin,11171,Mysterious Skin,Mysterious Skin,/wgSwDqhl6Rt3cuSCwt5sNpPna3x.jpg,,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",2004,0,-1.0
13-going-on-30,10096,13 Going on 30,13 Going on 30,/iNZdSIfhSCMtRILDNyhLn8UKeSG.jpg,,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",2004,0,-1.0
hellboy,1487,Hellboy,Hellboy,/pg6tCxOuON9vUqtoj8GJw1saklz.jpg,,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon—Hellboy—has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",2004,0,-1.0
scooby-doo-2-monsters-unleashed,11024,Scooby-Doo 2: Monsters Unleashed,Scooby-Doo 2: Monsters Unleashed,/5BrXCJrs22bR5KR6mLHluYo6y4m.jpg,,"When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains...Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest foes?",2004,0,-1.0
50-first-dates,1824,50 First Dates,50 First Dates,/zm9dfA5iwq4vGopD86WPoHXO40T.jpg,,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",2004,0,-1.0
saw,176,Saw,Saw,/pparEGTCxcTiImyVFoKD0LX11N8.jpg,,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",2004,0,-1.0
the-last-samurai,616,The Last Samurai,The Last Samurai,/wwCOJtRAkn287NbWUtOTlYbiL4Z.jpg,,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",2003,0,-1.0
oldboy,670,Oldboy,올드보이,/9eyqhS9MKBQqQJdGmWjKLH396gJ.jpg,,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",2003,0,-1.0
school-of-rock,1584,School of Rock,School of Rock,/rwAdo5ugCcPm17A99f4iPPNhuZK.jpg,,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",2003,0,-1.0
2-fast-2-furious,584,2 Fast 2 Furious,2 Fast 2 Furious,/osgUUpwst1TEaSDTBrrTE6KuCbW.jpg,,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",2003,0,-1.0
dogville,553,Dogville,Dogville,/80iFKwaNumOuk5xDKSoS5H3qICc.jpg,,"A barren soundstage is stylishly utilized to create a minimalist small-town setting in which a mysterious woman named Grace hides from the criminals who pursue her. The town is two-faced and offers to harbor Grace as long as she can make it worth their effort, so Grace works hard under the employ of various townspeople to win their favor. Tensions flare, however, and Grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of Dogville.",2003,0,-1.0
bruce-almighty,310,Bruce Almighty,Bruce Almighty,/3XJKBKh9Km89EoUEitVTSnrlAkZ.jpg,,"Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God—and the Almighty responds, endowing Bruce with all of His divine powers.",2003,0,-1.0
x2,36658,X2,X2,/bWMw0FMsY8DICgrQnrTSWbzEgtr.jpg,,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses—Magneto and Mystique—to unhinge Stryker's scheme to exterminate all mutants.",2003,0,-1.0
johnny-english,9486,Johnny English,Johnny English,/lx3Y7teA6DaoQ6cIhwzrlnDZpFW.jpg,,"A lowly pencil pusher working for MI7, Johnny English is suddenly promoted to super spy after Agent One is assassinated and every other agent is blown up at his funeral. When a billionaire entrepreneur sponsors the exhibition of the Crown Jewels—and the valuable gems disappear on the opening night and on English's watch—the newly-designated agent must jump into action to find the thief and recover the missing gems.",2003,0,-1.0
house-of-1000-corpses,2662,House of 1000 Corpses,House of 1000 Corpses,/zEAVm1zpjkk4XFL2i5EZehkEgkH.jpg,,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.,2003,0,-1.0
25th-hour,1429,25th Hour,25th Hour,/8AYVa7X4kMlQkn1sC6nVyKnzikV.jpg,,"In New York City in the days following the events of 9/11, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence.",2002,0,-1.0
28-days-later,170,28 Days Later,28 Days Later,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",2002,0,-1.0
men-in-black-ii,608,Men in Black II,Men in Black II,/enA22EPyzc2WQ1VVyY7zxresQQr.jpg,,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",2002,0,-1.0
mr-deeds,2022,Mr. Deeds,Mr. Deeds,/nv6MNcDYPWvJNTt5TuvKukLNd2K.jpg,,"When Longfellow Deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. Moving to the big city, Deeds finds himself besieged by opportunists all gunning for their piece of the pie. Babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposé on Deeds.",2002,0,-1.0
irreversible,979,Irreversible,Irréversible,/rxeDxo8FvZpLu6iplNpxdtAVnfu.jpg,,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything.",2002,0,-1.0
panic-room,4547,Panic Room,Panic Room,/7BabiNfuSycl58M9Cgl3Nf97n1F.jpg,,"Trapped in their New York brownstone's panic room, a hidden chamber built as a sanctuary in the event of break-ins, newly divorced Meg Altman and her young daughter Sarah play a deadly game of cat-and-mouse with three intruders - Burnham, Raoul and Junior - during a brutal home invasion. But the room itself is the focal point because what the intruders really want is inside it.",2002,0,-1.0
the-fast-and-the-furious-2001,9799,The Fast and the Furious,The Fast and the Furious,/5En3O5t9LG8PfRaNs3vKfMdjQ1B.jpg,,"Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.",2001,0,-1.0
the-piano-teacher,1791,The Piano Teacher,La Pianiste,/gNHKYQnP1RnqEhkivHJzBPb4MOP.jpg,,"Erika Kohut, a sexually repressed piano teacher living with her domineering mother, meets a young man who starts romantically pursuing her.",2001,0,-1.0
a-knights-tale,9476,A Knight's Tale,A Knight's Tale,/bBzCG34Iel2xgaioYakXd8auPgt.jpg,,"William Thatcher, a peasant, is sent to apprentice with a Knight named Hector as a young boy. Urged by his father to ""change his Stars"", he assumes Sir Hector's place in a tournament when Hector dies in the middle of it. He wins. With the other apprentices, he trains and assumes the title of Sir Ulrich von Lichtenstein.",2001,0,-1.0
requiem-for-a-dream,641,Requiem for a Dream,Requiem for a Dream,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,2000,0,-1.0
meet-the-parents,1597,Meet the Parents,Meet the Parents,/jX9D6uVaYFZIwFMfD3pEPp4Lu6u.jpg,,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",2000,0,-1.0
sexy-beast,11826,Sexy Beast,Sexy Beast,/xKI8PYL75qlK0F1rUNojEdiK80J.jpg,,"Ex-safecracker Gal Dove has served his time behind bars and is blissfully retired to a Spanish villa paradise with a wife he adores. The idyll is shattered by the arrival of his nemesis Don Logan, intent on persuading Gal to return to London for one last big job. Desperate not to sacrifice his enchanted existence, Dove is drawn into a shocking battle of wills with Logan, and takes part in a sensational underwater heist, risking everything to protect the woman he loves.",2001,0,-1.0
snatch,107,Snatch,Snatch,/56mOJth6DJ6JhgoE2jtpilVqJO.jpg,,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,0,-1.0
x-men,36657,X-Men,X-Men,/hkoAUNLa0lOQ11apLUJ6Oh1EWID.jpg,,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",2000,0,-1.0
chicken-run,7443,Chicken Run,Chicken Run,/8XgmIsbpVamdhwcNVsYzohFZTtT.jpg,,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Ginger the chicken along with the help of Rocky the American rooster decide to rebel and lead their fellow chickens in a great escape from the murderous farmers Mr. and Mrs. Tweedy and their farm of doom.",2000,0,-1.0
amores-perros,55,Amores Perros,Amores perros,/uoObXx53SjSLLtAavMSIe02zizs.jpg,,"A fatalistic car crash in Mexico City sets off a chain of events in the lives of three persons: a young man aching to run off with his sister-in-law, a supermodel, and a homeless man. Their lives are catapulted into unforeseen circumstances instigated by the seemingly inconsequential destiny of a dog.",2000,0,-1.0
for-the-birds,13930,For the Birds,For the Birds,/svtgd5Sj2Xvlt9Pl8bwaoweV5RV.jpg,,"One by one, a flock of small birds perches on a telephone wire. Sitting close together has problems enough, and then comes along a large dopey bird that tries to join them. The birds of a feather can't help but make fun of him - and their clique mentality proves embarrassing in the end.",2000,0,-1.0
mission-impossible-ii,955,Mission: Impossible II,Mission: Impossible II,/l2uHFznAMEAgSV3YsT6uUGIsJQO.jpg,,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",2000,0,-1.0
dancer-in-the-dark,16,Dancer in the Dark,Dancer in the Dark,/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg,,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",2000,0,-1.0
final-destination,9532,Final Destination,Final Destination,/418vOdcfd268Fs0Zk9Jdaokn8l2.jpg,,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",2000,0,-1.0
the-beach,1907,The Beach,The Beach,/4y7LxD8TSi6AtsM2xSYqUm1gu7u.jpg,,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",2000,0,-1.0
galaxy-quest,926,Galaxy Quest,Galaxy Quest,/fZXSwgZknp81vmciTb86rw0MejV.jpg,,"The stars of a 1980s sci-fi show—now eking out a living through re-runs and sci-fi conventions—are beamed aboard an alien spacecraft. Believing the cast's heroic on-screen dramas are historical documents of real-life adventures, the band of aliens turn to the cast members for help in their quest to overcome the oppressive regime in their solar system.",1999,0,-1.0
stuart-little,10137,Stuart Little,Stuart Little,/oe7greuYjA4mKazwHSd6ImZzh11.jpg,,"The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.",1999,0,-1.0
magnolia,334,Magnolia,Magnolia,/xTVRID4mDgv5w1YIxVxRN6ciyHj.jpg,,"An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.",1999,0,-1.0
but-im-a-cheerleader,20770,But I'm a Cheerleader,But I'm a Cheerleader,/bOrbfvN8rtEb0DLGeNJd8t42qQk.jpg,,"Megan is an all-American girl. A cheerleader. She has a boyfriend. But Megan doesn't like kissing her boyfriend very much. And she's pretty touchy with her cheerleader friends. Her conservative parents worry that she must be a lesbian and send her off to ""sexual redirection"" school, where she must, with other lesbians and gays learn how to be straight.",2000,0,-1.0
eyes-wide-shut,345,Eyes Wide Shut,Eyes Wide Shut,/a0YOhU3zq0RkOYrVlPXCeE1oFkR.jpg,,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",1999,0,-1.0
south-park-bigger-longer-uncut,9473,"South Park: Bigger, Longer & Uncut","South Park: Bigger, Longer & Uncut",/oq2v6R0Txm0EkUqsXNvyXEVxy4y.jpg,,"When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",1999,0,-1.0
the-straight-story,404,The Straight Story,The Straight Story,/tT9cMiVDdtlcdZxOoFy3VRmEoKk.jpg,,"A retired farmer and widower in his 70s, Alvin Straight learns one day that his distant brother Lyle has suffered a stroke and may not recover. Alvin is determined to make things right with Lyle while he still can, but his brother lives in Wisconsin, while Alvin is stuck in Iowa with no car and no driver's license. Then he hits on the idea of making the trip on his old lawnmower, thus beginning a picturesque and at times deeply spiritual odyssey.",1999,0,-1.0
the-virgin-suicides,1443,The Virgin Suicides,The Virgin Suicides,/tz5PVFBY3S5m6gwve09by64514a.jpg,,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.",1999,0,-1.0
the-waterboy,10663,The Waterboy,The Waterboy,/miT42qWYC4D0n2mXNzJ9VfhheWW.jpg,,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,1998,0,-1.0
happiness,10683,Happiness,Happiness,/rYfUcEV88Z3gENrfYTE6i8yBkDr.jpg,,"The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.",1998,0,-1.0
antz,8916,Antz,Antz,/qzUPrCu0nvjrRQiL8nFVHdsREug.jpg,,"A neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.",1998,0,-1.0
small-soldiers,11551,Small Soldiers,Small Soldiers,/2nuUjSzHsoYlRvTPmLo7m7gCQry.jpg,,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.",1998,0,-1.0
following,11660,Following,Following,/lK9LE5D67HNyPlhJcjKAgnRh0OO.jpg,,"Bill, an idle, unemployed aspiring writer, walks the crowded streets of London following randomly chosen strangers, a seemingly innocent entertainment that becomes dangerous when he crosses paths with a mysterious character.",1999,0,-1.0
the-wedding-singer,11003,The Wedding Singer,The Wedding Singer,/zVvyTrcZQb7kC2DPDzyo25WcxXp.jpg,,"Robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. Meanwhile, waitress Julia finally sets a wedding date with her fiancée Glenn. When Julia and Robbie meet and hit it off, they find that things are more complicated than anybody thought.",1998,0,-1.0
geris-game,13929,Geri's Game,Geri's Game,/8PdCk3T9EkcKniUviDogWFCXx28.jpg,,"An aging codger named Geri plays a daylong game of chess in the park against himself. Somehow, he begins losing to his livelier opponent. But just when the game's nearly over, Geri manages to turn the tables.",1997,0,-1.0
gummo,18415,Gummo,Gummo,/tMdoCRx0XIPR5uYBwxbxR7WCNBb.jpg,,"Solomon and Tummler are two teenagers killing time in Xenia, Ohio, a small town that has never recovered from the tornado that ravaged the community in the 1970s.",1997,0,-1.0
perfect-blue,10494,Perfect Blue,パーフェクトブルー,/79vujbsWEbX4dzffBV541QXN6sf.jpg,,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,1997,0,-1.0
men-in-black,607,Men in Black,Men in Black,/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg,,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",1997,0,-1.0
happy-together-1997,18329,Happy Together,春光乍洩,/jIv3EiZIC2tkBmjQ747Lyf5c61b.jpg,,"A couple take a trip to Argentina in search of a new beginning, but instead find themselves drifting ever further apart.",1997,0,-1.0
funny-games,10234,Funny Games,Funny Games,/gN67MODa2ZtDcIoXTdZ5SHzxAkt.jpg,,"Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",1997,0,-1.0
liar-liar,1624,Liar Liar,Liar Liar,/p1habYSdC7oD3WygQ5lynU5G5rV.jpg,,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.",1997,0,-1.0
breaking-the-waves,145,Breaking the Waves,Breaking the Waves,/dQWMcdHXUOSHtr7ypOCa5T79JMS.jpg,,"In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living.",1996,0,-1.0
trainspotting,627,Trainspotting,Trainspotting,/6UTzw3kipgTYAJCX8GExoXzcVOx.jpg,,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.",1996,0,-1.0
from-dusk-till-dawn,755,From Dusk Till Dawn,From Dusk Till Dawn,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1996,0,-1.0
twelve-monkeys,63,Twelve Monkeys,Twelve Monkeys,/kKoG0hXBmBbkDnJYhhHisdin73W.jpg,,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995,0,-1.0
ace-ventura-when-nature-calls,9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",1995,0,-1.0
kicking-and-screaming,28387,Kicking and Screaming,Kicking and Screaming,/186brkmaBmopqcM0dPs71tj9BfM.jpg,,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",1995,0,-1.0
casino,524,Casino,Casino,/4TS5O1IP42bY2BvgMxL156EENy.jpg,,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",1995,0,-1.0
