letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
avengers-endgame,299534,Avengers: Endgame,Avengers: Endgame,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",2019,0,-1.0
shazam,287947,Shazam!,Shazam!,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,,A boy is given the ability to become an adult superhero in times of need with a single magic word.,2019,0,-1.0
us-2019,458723,Us,Us,/ux2dU1jQ2ACIMShzB3yP93Udpzc.jpg,,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",2019,0,-1.0
dumbo-2019,329996,Dumbo,Dumbo,/A7XkpLfNH0El2yyDLc4b0KLAKvE.jpg,,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",2019,0,-1.0
booksmart,505600,Booksmart,Booksmart,/micaVOa1UZsdzs4fKGA67ZMGOzc.jpg,,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",2019,0,-1.0
the-peanut-butter-falcon,463257,The Peanut Butter Falcon,The Peanut Butter Falcon,/qyQcRGvdW3VtxHR4fSDgPOePEip.jpg,,A down-on-his-luck crab fisherman embarks on a journey to get a young man with Down syndrome to a professional wrestling school in rural North Carolina and away from the retirement home where he’s lived for the past two and a half years.,2019,0,-1.0
long-shot-2019,459992,Long Shot,Long Shot,/m2ttWZ8rMRwIMT7zA48Jo6mTkDS.jpg,,"Fred Flarsky is a gifted and free-spirited journalist who has a knack for getting into trouble. Charlotte Field is one of the most influential women in the world -- a smart, sophisticated and accomplished politician. When Fred unexpectedly runs into Charlotte, he soon realizes that she was his former baby sitter and childhood crush. When Charlotte decides to make a run for the presidency, she impulsively hires Fred as her speechwriter -- much to the dismay of her trusted advisers.",2019,0,-1.0
captain-marvel,299537,Captain Marvel,Captain Marvel,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",2019,0,-1.0
triple-frontier,399361,Triple Frontier,Triple Frontier,/aBw8zYuAljVM1FeK5bZKITPH8ZD.jpg,,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",2019,0,-1.0
isnt-it-romantic-2019,449563,Isn't It Romantic,Isn't It Romantic,/5xNBYXuv8wqiLVDhsfqCOr75DL7.jpg,,"For a long time, Natalie, an Australian architect living in New York City, had always believed that what she had seen in rom-coms is all fantasy. But after thwarting a mugger at a subway station only to be knocked out while fleeing, Natalie wakes up and discovers that her life has suddenly become her worst nightmare—a romantic comedy—and she is the leading lady.",2019,0,-1.0
