tmdb,name
13581,Brian Levant
13776,John Frankenheimer
13848,Charlie Chaplin
13859,Stuart Rosenberg
13927,Kurt Wimmer
13980,Vincente Minnelli
14132,Nicolas Roeg
14227,Jules Dassin
14386,Beyoncé Knowles
14392,Kathryn Bigelow
14520,John Sturges
14566,Alexander Mackendrick
14597,Gaspar Noé
14639,Mel Brooks
14674,George Cukor
14773,Don Siegel
14911,Penny Marshall
14999,George A. Romero
15002,Dean Parisot
15045,Michael Lembeck
15175,William Friedkin
15189,Michelangelo Antonioni
15217,Zack Snyder
15218,James Gunn
15277,Jon Favreau
15344,J.J. Abrams
15345,Alex Kurtzman
15378,Carol Reed
15488,Ken Loach
15557,Bill Condon
15774,Chris Buck
15775,Kevin Lima
15810,Ron Clements
15811,John Musker
15812,Roger Allers
15890,James Foley
16187,Jeannot Szwarc
16294,Jonathan Demme
16356,Steve Bendelack
16378,Mary Harron
16391,Julie Taymor
16483,Sylvester Stallone
16513,John G. Avildsen
16544,Ted Kotcheff
16566,George P. Cosmatos
16837,Mark Steven Johnson
16842,Stephen J. Anderson
16847,Eli Roth
16848,Rob Zombie
16863,Todd Haynes
16938,Renny Harlin
16959,Jonathan Dayton
16960,Valerie Faris
17016,Neil Jordan
17046,Gary Winick
17051,James Franco
17142,Paul Dano
17167,Andy Tennant
17268,Ronny Yu
17282,Takashi Miike
17329,Neil Burger
17403,Mike Judge
17439,Mike Mills
17447,Terry Zwigoff
17458,Abdellatif Kechiche
17494,Dennis Dugan
17496,Jacques Audiard
17510,Ol Parker
17597,Juan Carlos Fresnadillo
17633,Rob Marshall
17649,Alexander Witt
17697,John Krasinski
17698,Nancy Meyers
17812,Gregory Hoblit
17825,Shawn Levy
17835,Ricky Gervais
17867,Tom McCarthy
17871,John Hamburg
17883,David O. Russell
17884,Jeff Baena
18281,Donald Petrie
18308,Steve Barron
18311,Joe Roth
18335,George Sluizer
18356,Stephen Herek
18357,Peter Hewitt
18378,Herbert Ross
18392,Robert Aldrich
18596,Taylor Hackford
18598,Ishirō Honda
18844,John Madden
18863,Eric Darnell
18864,Tom McGrath
18865,Louis Leterrier
18868,Jerome Robbins
18878,Rob Cohen
18897,Jackie Chan
18898,Rob Minkoff
19014,Scott Z. Burns
19224,Gregg Araki
19242,Tony Gilroy
19271,Anthony Russo
19272,Joe Russo
19274,Seth Rogen
19303,Kevin Smith
19304,John Schlesinger
19311,Stephen Chbosky
19665,John Boorman
19769,David Ayer
19800,Richard Marquand
19840,Alejandro Amenábar
19850,Catherine Hardwicke
20031,Samuel Bayer
20133,Tod Williams
20192,Brian Taylor
20193,Mark Neveldine
20218,Eric Bress
20219,J. Mackye Gruber
20307,Joachim Rønning
20308,Espen Sandberg
20310,Takashi Shimizu
20355,Stephen Susco
20400,Tim Story
20503,Scott Mosier
20561,James Gray
20629,George Miller
20646,Gabriele Muccino
20659,Marjane Satrapi
20709,Vincent Paronnaud
20739,Adam Shankman
20907,Antoine Fuqua
21007,Jonah Hill
21085,Alex Proyas
21183,Nicolas Winding Refn
21198,Peter Sohn
21217,Jonathan Lynn
21371,Amy Holden Jones
21678,Olivier Assayas
21684,Bong Joon-ho
21879,Simon Wells
21981,Harald Zwart
22214,David Wain
22215,Michael Showalter
22461,Vincent Gallo
22810,Andy Nyman
23227,Steven Knight
23430,Timur Bekmambetov
23677,Joe Pytka
23683,Tony Cervone
23684,Bruce W. Smith
23964,Gary Ross
23968,Phil Alden Robinson
24045,Joseph Gordon-Levitt
24882,Jacques Demy
25467,Toshiya Fujita
25598,Paul Greengrass
25630,Jack Clayton
25645,Hirokazu Kore-eda
26095,John Patrick Shanley
26205,James Bobin
26502,Howard Deutch
26648,Luis Llosa
26713,Chuck Russell
26714,John R. Leonetti
26849,Daniel Myrick
26850,Eduardo Sánchez
26875,Hideo Nakata
27571,David Slade
27728,Leslie H. Martinson
27757,Gregg Hale
27977,Leos Carax
27991,Stuart Gordon
27992,Brian Yuzna
28976,Jack Bender
29214,Anne Fletcher
29433,Lucio Fulci
29605,Mikael Håfström
29922,Marcus Nispel
30008,Leo McCarey
30614,Ryan Gosling
30711,Kenneth Lonergan
30715,Terrence Malick
31024,Betty Thomas
31074,Kinji Fukasaku
31119,Sylvain White
31211,Clive Barker
31493,Alex Cox
32082,Andrzej Żuławski
32278,Matt Reeves
32327,Ken Russell
32593,Steven Brill
32813,Dominique Othenin-Girard
33183,David Bowers
33192,Joel Edgerton
33254,Jim Gillespie
33341,Rick Rosenthal
33485,Ron Underwood
33883,Jack Arnold
34517,Trey Parker
34682,Jeremiah S. Chechik
34891,Mike Johnson
34934,Bruce Timm
35270,Eric Radomski
35453,Pierre Morel
35475,Sean S. Cunningham
35689,Keenen Ivory Wayans
36425,McG
36588,Joe Wright
36602,Peter Berg
36697,Gábor Csupó
36797,Robert Luketic
36804,Peter Chelsom
37302,Georges Franju
37618,Andrew Dominik
37846,Emeric Pressburger
37932,F. Gary Gray
37948,Brad Anderson
39012,Peter Bogdanovich
39104,Abel Ferrara
39189,Stephen Merchant
39996,Sidney Lumet
40223,Joe Carnahan
40243,Gil Junger
40256,D.J. Caruso
40333,Satoshi Kon
40345,Don Bluth
40476,Maren Ade
40509,Veronika Franz
40644,Chad Stahelski
40684,David Leitch
40863,Joe Swanberg
40864,Andrew Bujalski
41039,Judd Apatow
41041,Christopher Smith
41549,Andrew Fleming
41671,Nimród Antal
42175,Richard Stanley
42994,David Dobkin
43141,Pete Travis
44056,Fred Dekker
44113,Steve Hickner
44114,Simon J. Smith
44740,Richard Shepard
44866,Edwin S. Porter
45117,John Carney
45138,Luc Dardenne
45400,Greta Gerwig
45419,Ry Russo-Young
45572,Ruggero Deodato
45730,Ramin Bahrani
46588,Bill Pohlad
46712,Douglas Sirk
47005,Alan Taylor
47333,John Wells
47506,Drew Goddard
49903,Tim Hill
50767,Craig Gillespie
51329,Bradley Cooper
51851,Jake Kasdan
51866,Rick Famuyiwa
51894,J. A. Bayona
51917,Larry Clark
51918,Harmony Korine
52112,Steve Carr
52114,Jon Lucas
52139,Seth MacFarlane
52194,Tony Randel
52358,Boaz Yakin
52443,Jason Reitman
52479,Eli Craig
52576,José Padilha
52609,Breck Eisner
52691,Anthony Stacchi
52701,Fergal Reilly
52803,Etan Cohen
52842,Garth Jennings
52845,Karey Kirkpatrick
52870,Tim Johnson
52934,Nicholas Stoller
52935,John Francis Daley
52968,Russell Mulcahy
53068,Ryan Fleck
53069,Anna Boden
53120,James DeMonaco
53267,Craig Brewer
53304,Peter Lord
53333,John Hillcoat
53925,Jared Hess
54025,Karyn Kusama
54040,John Lee Hancock
54050,Mark Waters
54240,Tamara Jenkins
54248,Christopher Landon
54472,Martin McDonagh
54507,Jon M. Chu
54525,Jaume Balagueró
54526,Paco Plaza
54584,Jesse Dylan
54710,Jody Hill
54733,Greg Mottola
54734,Evan Goldberg
54795,Troy Duffy
54868,Christian Gudegast
54967,Sam Weisman
55075,Jeff Wadlow
55116,Joe Chappelle
55119,Alejandro Jodorowsky
55252,Tim Miller
55299,Mark Herman
55493,Brady Corbet
55499,Scott Derrickson
55710,Adam McKay
55789,Tate Taylor
55790,Allan Moyle
55934,Taika Waititi
55936,Jemaine Clement
55983,Jim Henson
56194,Paolo Sorrentino
56209,Jean-Pierre Dardenne
56263,Mary Lambert
56322,Amy Poehler
56349,Victor Salva
56369,Antonio Campos
56370,Ruben Östlund
56383,Kelly Reichardt
56411,Glenn Ficarra
56412,John Requa
56501,Michael Spierig
56502,Peter Spierig
56512,Tarsem Singh
56539,Nicole Holofcener
56578,Jeff Tremaine
56591,Danny Leiner
56661,Jonathan Levine
56891,Rachel Talalay
56911,Les Mayfield
56998,Dwight H. Little
57113,Dan Gilroy
57130,Todd Phillips
57134,James Wong
57193,Gil Kenan
57270,Robert Schwentke
57314,Wolfgang Reitherman
57370,Frank Coraci
57383,Paul Brickman
57433,George Ogilvie
57434,Amy Heckerling
57446,Mark Romanek
57581,Neil Marshall
57604,Joel Gallen
57607,Stephen Chow
57633,Rawson Marshall Thurber
57646,Henry Selick
57691,Tamra Davis
57727,Robert Clouse
57741,Mark Osborne
57742,John Stevenson
57851,Bernard Rose
58072,John Pasquin
58094,Gillian Armstrong
58137,Chris Noonan
58189,Justin Lin
58245,Don Coscarelli
58251,Elaine May
58375,Andy Fickman
58448,Penelope Spheeris
58552,Burr Steers
58608,Shinya Tsukamoto
58689,Neil LaBute
58712,Steve Miner
58822,Danny Steinmann
58829,Darrell Rooney
58838,Marco Brambilla
58897,Sam Fell
59026,Peyton Reed
59291,Alexandre Aja
59315,Olivia Wilde
59466,Jamie Babbit
59521,Jaume Collet-Serra
59611,Pascal Laugier
59803,Brenda Chapman
