movie_link,genre_id
percy-jackson-the-olympians-the-lightning-thief,14
percy-jackson-the-olympians-the-lightning-thief,10751
the-twilight-saga-new-moon,12
the-twilight-saga-new-moon,14
the-twilight-saga-new-moon,18
the-twilight-saga-new-moon,10749
fantastic-mr-fox,12
fantastic-mr-fox,16
fantastic-mr-fox,35
fantastic-mr-fox,10751
zombieland,35
zombieland,27
jennifers-body,35
jennifers-body,27
harry-potter-and-the-half-blood-prince,12
harry-potter-and-the-half-blood-prince,14
inglourious-basterds,18
inglourious-basterds,28
inglourious-basterds,53
inglourious-basterds,10752
star-trek,878
star-trek,28
star-trek,12
coraline,16
coraline,10751
twilight-2008,14
twilight-2008,18
twilight-2008,10749
burn-after-reading,35
burn-after-reading,18
the-dark-knight,18
the-dark-knight,28
the-dark-knight,80
the-dark-knight,53
the-chronicles-of-narnia-prince-caspian,12
the-chronicles-of-narnia-prince-caspian,10751
the-chronicles-of-narnia-prince-caspian,14
there-will-be-blood,18
juno,35
juno,18
juno,10749
atonement,18
atonement,10749
harry-potter-and-the-order-of-the-phoenix,12
harry-potter-and-the-order-of-the-phoenix,14
harry-potter-and-the-order-of-the-phoenix,9648
pirates-of-the-caribbean-at-worlds-end,12
pirates-of-the-caribbean-at-worlds-end,14
pirates-of-the-caribbean-at-worlds-end,28
zodiac,80
zodiac,18
zodiac,9648
zodiac,53
happy-feet,16
happy-feet,35
happy-feet,10751
casino-royale-2006,12
casino-royale-2006,28
casino-royale-2006,53
the-departed,18
the-departed,53
the-departed,80
pirates-of-the-caribbean-dead-mans-chest,12
pirates-of-the-caribbean-dead-mans-chest,14
pirates-of-the-caribbean-dead-mans-chest,28
marie-antoinette-2006,18
marie-antoinette-2006,36
half-nelson,18
little-miss-sunshine,35
little-miss-sunshine,18
the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,12
the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,10751
the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,14
harry-potter-and-the-goblet-of-fire,12
harry-potter-and-the-goblet-of-fire,14
harry-potter-and-the-goblet-of-fire,10751
pride-prejudice,18
pride-prejudice,10749
corpse-bride,10749
