movie_link,director_id
thoroughbreds-2017,1620987
silence,1032
patriots-day,36602
the-accountant-2016,77003
trolls,64151
trolls,118489
the-girl-on-the-train-2016,55789
hacksaw-ridge,2461
moonlight-2016,92784
jason-bourne,25598
finding-dory,7
zootopia,76595
zootopia,165787
kung-fu-panda-3,142312
kung-fu-panda-3,1262481
manchester-by-the-sea,30711
the-revenant-2015,223
the-good-dinosaur,21198
the-peanuts-movie,71729
bridge-of-spies,488
the-martian,578
room-2015,83281
macbeth-2015,549310
mission-impossible-rogue-nation,9033
the-lobster,122423
minions,8023
minions,124747
inside-out-2015,12890
jurassic-world,930707
the-age-of-adaline,109745
mistress-america,5656
the-end-of-the-tour,930710
unbroken,11701
the-hobbit-the-battle-of-the-five-armies,108
american-sniper,190
a-most-violent-year,556172
big-hero-6,70238
big-hero-6,227439
while-were-young,5656
birdman-or-the-unexpected-virtue-of-ignorance,223
the-giver,13015
dawn-of-the-planet-of-the-apes,32278
lost-river,30614
noah,6431
the-lego-movie,107446
the-lego-movie,155267
non-stop-2014,59521
the-guest-2014,98631
lone-survivor,36602
the-secret-life-of-walter-mitty-2013,7399
the-hobbit-the-desolation-of-smaug,108
frozen-2013,15774
frozen-2013,1120694
thor-the-dark-world,47005
enders-game,13079
saving-mr-banks,54040
12-years-a-slave,72757
locke,23227
pacific-rim,10828
white-house-down,6046
despicable-me-2,124747
despicable-me-2,124748
monsters-university,225976
now-you-see-me,18865
nebraska,13235
olympus-has-fallen,20907
the-croods,66193
the-croods,71267
the-kings-of-summer,236539
the-spectacular-now,930710
jack-reacher,9033
zero-dark-thirty,14392
the-hobbit-an-unexpected-journey,108
argo,880
end-of-watch,19769
hotel-transylvania,185438
silver-linings-playbook,17883
the-place-beyond-the-pines,139098
premium-rush,508
the-bourne-legacy,19242
diary-of-a-wimpy-kid-dog-days,33183
ice-age-continental-drift,71729
ice-age-continental-drift,229962
brave-2012,59803
brave-2012,126638
madagascar-3-europes-most-wanted,12080
madagascar-3-europes-most-wanted,18863
madagascar-3-europes-most-wanted,18864
snow-white-and-the-huntsman,228134
prometheus,578
the-lorax-2012,8023
the-lorax-2012,124748
chronicle,934803
mission-impossible-ghost-protocol,7087
hugo,1032
rise-of-the-planet-of-the-apes,77357
the-smurfs,1215
captain-america-the-first-avenger,4945
transformers-dark-of-the-moon,865
mr-poppers-penguins,54050
green-lantern,10702
super-8,15344
kung-fu-panda-2,142312
the-tree-of-life-2011,30715
fast-five,58189
rio-2011,5714
diary-of-a-wimpy-kid-rodrick-rules,33183
limitless,17329
a-separation,229931
gnomeo-juliet,12079
tron-legacy,86270
tangled-2010,76595
tangled-2010,121830
megamind,18864
red-2010,57270
buried,95320
the-town,880
incendies,137427
salt-2010,13015
despicable-me,124747
despicable-me,124748
the-a-team,40223
shrek-forever-after,64151
iron-man-2,15277
diary-of-a-wimpy-kid,109857
how-to-train-your-dragon,66193
how-to-train-your-dragon,69797
alvin-and-the-chipmunks-the-squeakquel,31024
the-princess-and-the-frog,15810
the-princess-and-the-frog,15811
the-blind-side,54040
a-christmas-carol-2009,24
cloudy-with-a-chance-of-meatballs,107446
cloudy-with-a-chance-of-meatballs,155267
district-9,82194
g-force,84851
ice-age-dawn-of-the-dinosaurs,5714
x-men-origins-wolverine,13079
monsters-vs-aliens,12080
monsters-vs-aliens,65630
paul-blart-mall-cop,52112
valkyrie,9032
bedtime-stories,20739
gran-torino,190
bolt,70238
bolt,76595
quantum-of-solace,12995
madagascar-escape-2-africa,18863
madagascar-escape-2-africa,18864
high-school-musical-3-senior-year,65310
the-hurt-locker,14392
step-brothers,55710
the-incredible-hulk,18865
kung-fu-panda,57741
kung-fu-panda,57742
iron-man-2008,15277
horton-hears-a-who-2008,8029
horton-hears-a-who-2008,71729
national-treasure-book-of-secrets,12962
alvin-and-the-chipmunks,49903
bee-movie,44113
bee-movie,44114
high-school-musical-2,65310
the-bourne-ultimatum,25598
transformers,865
fantastic-four-rise-of-the-silver-surfer,20400
evan-almighty,4499
shrek-the-third,12098
meet-the-robinsons,16842
deja-vu,893
flushed-away,33183
flushed-away,58897
ice-age-the-meltdown,5714
cars,7879
hoodwinked,61373
hoodwinked,61371
hoodwinked,61372
